Name,District,Type,Description,SchoolYear
GARLAND ISD,057909,B,MAJOR SUBURBAN,2012-13
GARNER ISD,184911,H,RURAL,2012-13
GARRISON ISD,174903,H,RURAL,2012-13
GARY ISD,183904,F,NON-METROPOLITAN FAST GROWING,2012-13
GATESVILLE ISD,050902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
GATEWAY ACADEMY CHARTER DISTRICT,240801,I,CHARTER SCHOOL DISTRICTS,2012-13
GATEWAY CHARTER ACADEMY,057831,I,CHARTER SCHOOL DISTRICTS,2012-13
GAUSE ISD,166902,H,RURAL,2012-13
GEORGE GERVIN ACADEMY,015802,I,CHARTER SCHOOL DISTRICTS,2012-13
GEORGE I SANCHEZ CHARTER,101804,I,CHARTER SCHOOL DISTRICTS,2012-13
GEORGE WEST ISD,149901,G,NON-METROPOLITAN STABLE,2012-13
GEORGETOWN ISD,246904,C,OTHER CENTRAL CITY,2012-13
GHOLSON ISD,161925,H,RURAL,2012-13
GIDDINGS ISD,144901,G,NON-METROPOLITAN STABLE,2012-13
GILMER ISD,230902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
GIRLS & BOYS PREPARATORY ACADEMY,101805,I,CHARTER SCHOOL DISTRICTS,2012-13
GLADEWATER ISD,092901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
GLASSCOCK COUNTY ISD,087901,H,RURAL,2012-13
GLEN ROSE ISD,213901,G,NON-METROPOLITAN STABLE,2012-13
GODLEY ISD,126911,B,MAJOR SUBURBAN,2012-13
GOLD BURG ISD,169906,H,RURAL,2012-13
GOLDEN RULE CHARTER SCHOOL,057835,I,CHARTER SCHOOL DISTRICTS,2012-13
GOLDTHWAITE ISD,167901,H,RURAL,2012-13
GOLIAD ISD,088902,G,NON-METROPOLITAN STABLE,2012-13
GONZALES ISD,089901,G,NON-METROPOLITAN STABLE,2012-13
GOODRICH ISD,187903,H,RURAL,2012-13
GOOSE CREEK CISD,101911,B,MAJOR SUBURBAN,2012-13
GORDON ISD,182901,H,RURAL,2012-13
GORMAN ISD,067904,H,RURAL,2012-13
GRADY ISD,156905,H,RURAL,2012-13
GRAFORD ISD,182902,H,RURAL,2012-13
GRAHAM ISD,252901,G,NON-METROPOLITAN STABLE,2012-13
GRANBURY ISD,111901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
GRAND PRAIRIE ISD,057910,B,MAJOR SUBURBAN,2012-13
GRAND SALINE ISD,234904,G,NON-METROPOLITAN STABLE,2012-13
GRANDFALLS-ROYALTY ISD,238904,H,RURAL,2012-13
GRANDVIEW ISD,126904,G,NON-METROPOLITAN STABLE,2012-13
GRANDVIEW-HOPKINS ISD,090905,H,RURAL,2012-13
GRANGER ISD,246905,H,RURAL,2012-13
GRAPE CREEK ISD,226907,D,OTHER CENTRAL CITY SUBURBAN,2012-13
GRAPELAND ISD,113902,H,RURAL,2012-13
GRAPEVINE-COLLEYVILLE ISD,220906,B,MAJOR SUBURBAN,2012-13
GREENVILLE ISD,116905,E,INDEPENDENT TOWN,2012-13
GREENWOOD ISD,165902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
GREGORY-PORTLAND ISD,205902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
GROESBECK ISD,147902,G,NON-METROPOLITAN STABLE,2012-13
GROOM ISD,033901,H,RURAL,2012-13
GROVETON ISD,228901,H,RURAL,2012-13
GRUVER ISD,098901,H,RURAL,2012-13
GUNTER ISD,091917,H,RURAL,2012-13
GUSTINE ISD,047903,H,RURAL,2012-13
GUTHRIE CSD,135001,H,RURAL,2012-13
HALE CENTER ISD,095903,H,RURAL,2012-13
HALLETTSVILLE ISD,143901,G,NON-METROPOLITAN STABLE,2012-13
HALLSBURG ISD,161924,H,RURAL,2012-13
HALLSVILLE ISD,102904,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HAMILTON ISD,097902,H,RURAL,2012-13
HAMLIN ISD,127903,H,RURAL,2012-13
HAMSHIRE-FANNETT ISD,123914,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HAPPY ISD,219901,H,RURAL,2012-13
HARDIN ISD,146904,G,NON-METROPOLITAN STABLE,2012-13
HARDIN-JEFFERSON ISD,100905,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HARLANDALE ISD,015904,B,MAJOR SUBURBAN,2012-13
HARLETON ISD,102905,H,RURAL,2012-13
HARLINGEN CISD,031903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HARMONY ISD,230905,E,INDEPENDENT TOWN,2012-13
HARMONY SCHOOL OF EXCELLENCE,101858,I,CHARTER SCHOOL DISTRICTS,2012-13
HARMONY SCHOOL OF SCIENCE - HOUSTO,101862,I,CHARTER SCHOOL DISTRICTS,2012-13
HARMONY SCIENCE ACAD (EL PASO),071806,I,CHARTER SCHOOL DISTRICTS,2012-13
HARMONY SCIENCE ACAD (FORT WORTH),220813,I,CHARTER SCHOOL DISTRICTS,2012-13
HARMONY SCIENCE ACAD (LUBBOCK),152805,I,CHARTER SCHOOL DISTRICTS,2012-13
HARMONY SCIENCE ACAD (SAN ANTONIO),015828,I,CHARTER SCHOOL DISTRICTS,2012-13
HARMONY SCIENCE ACAD (WACO),161807,I,CHARTER SCHOOL DISTRICTS,2012-13
HARMONY SCIENCE ACADEMY,101846,I,CHARTER SCHOOL DISTRICTS,2012-13
HARMONY SCIENCE ACADEMY (AUSTIN),227816,I,CHARTER SCHOOL DISTRICTS,2012-13
HARMONY SCIENCE ACADEMY - BROWNSVI,031803,I,CHARTER SCHOOL DISTRICTS,2012-13
HARPER ISD,086902,H,RURAL,2012-13
HARROLD ISD,244901,H,RURAL,2012-13
HART ISD,035902,H,RURAL,2012-13
HARTLEY ISD,103902,H,RURAL,2012-13
HARTS BLUFF ISD,225907,H,RURAL,2012-13
HASKELL CISD,104901,H,RURAL,2012-13
HAWKINS ISD,250902,H,RURAL,2012-13
HAWLEY ISD,127904,H,RURAL,2012-13
HAYS CISD,105906,B,MAJOR SUBURBAN,2012-13
HEARNE ISD,198905,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HEDLEY ISD,065902,H,RURAL,2012-13
HEMPHILL ISD,202903,G,NON-METROPOLITAN STABLE,2012-13
HEMPSTEAD ISD,237902,G,NON-METROPOLITAN STABLE,2012-13
HENDERSON ISD,201902,E,INDEPENDENT TOWN,2012-13
HENRIETTA ISD,039902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HENRY FORD ACADEMY ALAMEDA SCHOOL,015833,I,CHARTER SCHOOL DISTRICTS,2012-13
HEREFORD ISD,059901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HERMLEIGH ISD,208901,H,RURAL,2012-13
HICO ISD,097903,H,RURAL,2012-13
HIDALGO ISD,108905,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HIGGINS ISD,148903,H,RURAL,2012-13
HIGGS CARTER KING GIFTED & TALENTE,015803,I,CHARTER SCHOOL DISTRICTS,2012-13
HIGH ISLAND ISD,084903,H,RURAL,2012-13
HIGHLAND ISD,177905,H,RURAL,2012-13
HIGHLAND PARK ISD,057911,B,MAJOR SUBURBAN,2012-13
HIGHLAND PARK ISD,188903,G,NON-METROPOLITAN STABLE,2012-13
HILLSBORO ISD,109904,E,INDEPENDENT TOWN,2012-13
HITCHCOCK ISD,084908,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HOLLAND ISD,014905,H,RURAL,2012-13
HOLLIDAY ISD,005902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HONDO ISD,163904,E,INDEPENDENT TOWN,2012-13
HONEY GROVE ISD,074907,H,RURAL,2012-13
HONORS ACADEMY,057825,I,CHARTER SCHOOL DISTRICTS,2012-13
HOOKS ISD,019902,G,NON-METROPOLITAN STABLE,2012-13
HOUSTON CAN ACADEMY CHARTER SCHOOL,101812,I,CHARTER SCHOOL DISTRICTS,2012-13
HOUSTON GATEWAY ACADEMY INC,101828,I,CHARTER SCHOOL DISTRICTS,2012-13
HOUSTON HEIGHTS HIGH SCHOOL,101821,I,CHARTER SCHOOL DISTRICTS,2012-13
HOUSTON HEIGHTS LEARNING ACADEMY I,101829,I,CHARTER SCHOOL DISTRICTS,2012-13
HOUSTON ISD,101912,A,MAJOR URBAN,2012-13
HOWE ISD,091905,D,OTHER CENTRAL CITY SUBURBAN,2012-13
HUBBARD ISD,019913,H,RURAL,2012-13
HUBBARD ISD,109905,H,RURAL,2012-13
HUCKABAY ISD,072908,H,RURAL,2012-13
HUDSON ISD,003902,G,NON-METROPOLITAN STABLE,2012-13
HUFFMAN ISD,101925,G,NON-METROPOLITAN STABLE,2012-13
HUGHES SPRINGS ISD,034903,G,NON-METROPOLITAN STABLE,2012-13
HULL-DAISETTA ISD,146905,H,RURAL,2012-13
HUMBLE ISD,101913,B,MAJOR SUBURBAN,2012-13
HUNT ISD,133902,H,RURAL,2012-13
HUNTINGTON ISD,003904,G,NON-METROPOLITAN STABLE,2012-13
HUNTSVILLE ISD,236902,E,INDEPENDENT TOWN,2012-13
HURST-EULESS-BEDFORD ISD,220916,B,MAJOR SUBURBAN,2012-13
HUTTO ISD,246906,D,OTHER CENTRAL CITY SUBURBAN,2012-13
IDALOU ISD,152910,D,OTHER CENTRAL CITY SUBURBAN,2012-13
IDEA PUBLIC SCHOOLS,108807,I,CHARTER SCHOOL DISTRICTS,2012-13
IGNITE PUBLIC SCHOOLS AND COMMUNIT,108801,I,CHARTER SCHOOL DISTRICTS,2012-13
IMAGINE INTERNATIONAL ACADEMY OF N,043801,I,CHARTER SCHOOL DISTRICTS,2012-13
INDUSTRIAL ISD,120905,G,NON-METROPOLITAN STABLE,2012-13
INGLESIDE ISD,205903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
INGRAM ISD,133904,G,NON-METROPOLITAN STABLE,2012-13
INSPIRED VISION ACADEMY,057830,I,CHARTER SCHOOL DISTRICTS,2012-13
IOLA ISD,093903,H,RURAL,2012-13
IOWA PARK CISD,243903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
IRA ISD,208903,H,RURAL,2012-13
IRAAN-SHEFFIELD ISD,186903,H,RURAL,2012-13
IREDELL ISD,018906,H,RURAL,2012-13
IRION COUNTY ISD,118902,H,RURAL,2012-13
IRVING ISD,057912,B,MAJOR SUBURBAN,2012-13
ITALY ISD,070907,H,RURAL,2012-13
ITASCA ISD,109907,H,RURAL,2012-13
JACKSBORO ISD,119902,G,NON-METROPOLITAN STABLE,2012-13
JACKSONVILLE ISD,037904,E,INDEPENDENT TOWN,2012-13
JAMIE'S HOUSE CHARTER SCHOOL,101822,I,CHARTER SCHOOL DISTRICTS,2012-13
JARRELL ISD,246907,F,NON-METROPOLITAN FAST GROWING,2012-13
JASPER ISD,121904,E,INDEPENDENT TOWN,2012-13
JAYTON-GIRARD ISD,132902,H,RURAL,2012-13
JEAN MASSIEU ACADEMY,057819,I,CHARTER SCHOOL DISTRICTS,2012-13
JEFFERSON ISD,155901,G,NON-METROPOLITAN STABLE,2012-13
JIM HOGG COUNTY ISD,124901,G,NON-METROPOLITAN STABLE,2012-13
JIM NED CISD,221911,G,NON-METROPOLITAN STABLE,2012-13
JOAQUIN ISD,210902,H,RURAL,2012-13
JOHN H WOOD JR PUBLIC CHARTER DIST,015808,I,CHARTER SCHOOL DISTRICTS,2012-13
JOHNSON CITY ISD,016901,H,RURAL,2012-13
JONESBORO ISD,050909,H,RURAL,2012-13
JOSHUA ISD,126905,D,OTHER CENTRAL CITY SUBURBAN,2012-13
JOURDANTON ISD,007902,G,NON-METROPOLITAN STABLE,2012-13
JUAN B GALAVIZ CHARTER SCHOOL,101852,I,CHARTER SCHOOL DISTRICTS,2012-13
JUBILEE ACADEMIC CENTER,015822,I,CHARTER SCHOOL DISTRICTS,2012-13
JUDSON ISD,015916,B,MAJOR SUBURBAN,2012-13
JUNCTION ISD,134901,H,RURAL,2012-13
KARNACK ISD,102901,H,RURAL,2012-13
KARNES CITY ISD,128901,G,NON-METROPOLITAN STABLE,2012-13
KATHERINE ANNE PORTER SCHOOL,105801,I,CHARTER SCHOOL DISTRICTS,2012-13
KATY ISD,101914,B,MAJOR SUBURBAN,2012-13
KAUFMAN ISD,129903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
KEENE ISD,126906,G,NON-METROPOLITAN STABLE,2012-13
KELLER ISD,220907,B,MAJOR SUBURBAN,2012-13
KELTON ISD,242905,H,RURAL,2012-13
KEMP ISD,129904,D,OTHER CENTRAL CITY SUBURBAN,2012-13
KENEDY COUNTY WIDE CSD,131001,H,RURAL,2012-13
KENEDY ISD,128902,H,RURAL,2012-13
KENNARD ISD,113906,H,RURAL,2012-13
KENNEDALE ISD,220914,B,MAJOR SUBURBAN,2012-13
KERENS ISD,175907,H,RURAL,2012-13
KERMIT ISD,248901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
KERRVILLE ISD,133903,E,INDEPENDENT TOWN,2012-13
KILGORE ISD,092902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
KILLEEN ISD,014906,C,OTHER CENTRAL CITY,2012-13
KINGSVILLE ISD,137901,E,INDEPENDENT TOWN,2012-13
KIPP AUSTIN PUBLIC SCHOOLS INC,227820,I,CHARTER SCHOOL DISTRICTS,2012-13
KIPP DALLAS-FORT WORTH,057837,I,CHARTER SCHOOL DISTRICTS,2012-13
KIPP INC CHARTER,101813,I,CHARTER SCHOOL DISTRICTS,2012-13
KIPP SAN ANTONIO,015826,I,CHARTER SCHOOL DISTRICTS,2012-13
KIPP SOUTHEAST HOUSTON,101860,I,CHARTER SCHOOL DISTRICTS,2012-13
KIRBYVILLE CISD,121905,G,NON-METROPOLITAN STABLE,2012-13
KLEIN ISD,101915,B,MAJOR SUBURBAN,2012-13
KLONDIKE ISD,058905,H,RURAL,2012-13
KNIPPA ISD,232901,F,NON-METROPOLITAN FAST GROWING,2012-13
KNOX CITY-O'BRIEN CISD,138902,H,RURAL,2012-13
KOINONIA COMMUNITY LEARNING ACADEM,101863,I,CHARTER SCHOOL DISTRICTS,2012-13
KOPPERL ISD,018907,H,RURAL,2012-13
KOUNTZE ISD,100903,G,NON-METROPOLITAN STABLE,2012-13
KRESS ISD,219905,H,RURAL,2012-13
KRUM ISD,061905,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LA ACADEMIA DE ESTRELLAS,057839,I,CHARTER SCHOOL DISTRICTS,2012-13
LA AMISTAD LOVE & LEARNING ACADEMY,101833,I,CHARTER SCHOOL DISTRICTS,2012-13
LA FE PREPARATORY SCHOOL,071807,I,CHARTER SCHOOL DISTRICTS,2012-13
LA FERIA ISD,031905,G,NON-METROPOLITAN STABLE,2012-13
LA GLORIA ISD,125906,H,RURAL,2012-13
LA GRANGE ISD,075902,E,INDEPENDENT TOWN,2012-13
LA JOYA ISD,108912,C,OTHER CENTRAL CITY,2012-13
LA MARQUE ISD,084904,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LA PORTE ISD,101916,B,MAJOR SUBURBAN,2012-13
LA PRYOR ISD,254902,H,RURAL,2012-13
LA VEGA ISD,161906,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LA VERNIA ISD,247903,E,INDEPENDENT TOWN,2012-13
LA VILLA ISD,108914,H,RURAL,2012-13
LACKLAND ISD,015913,F,NON-METROPOLITAN FAST GROWING,2012-13
LAGO VISTA ISD,227912,G,NON-METROPOLITAN STABLE,2012-13
LAKE DALLAS ISD,061912,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LAKE TRAVIS ISD,227913,B,MAJOR SUBURBAN,2012-13
LAKE WORTH ISD,220910,B,MAJOR SUBURBAN,2012-13
LAMAR CISD,079901,C,OTHER CENTRAL CITY,2012-13
LAMESA ISD,058906,G,NON-METROPOLITAN STABLE,2012-13
LAMPASAS ISD,141901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LANCASTER ISD,057913,B,MAJOR SUBURBAN,2012-13
LANEVILLE ISD,201903,H,RURAL,2012-13
LAPOYNOR ISD,107910,H,RURAL,2012-13
LAREDO ISD,240901,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LASARA ISD,245901,F,NON-METROPOLITAN FAST GROWING,2012-13
LATEXO ISD,113905,H,RURAL,2012-13
LAZBUDDIE ISD,185904,H,RURAL,2012-13
LEADERSHIP PREP SCHOOL,061804,I,CHARTER SCHOOL DISTRICTS,2012-13
LEAKEY ISD,193902,H,RURAL,2012-13
LEANDER ISD,246913,B,MAJOR SUBURBAN,2012-13
LEARY ISD,019914,H,RURAL,2012-13
LEFORS ISD,090902,H,RURAL,2012-13
LEGACY PREPARATORY,057846,I,CHARTER SCHOOL DISTRICTS,2012-13
LEGGETT ISD,187906,H,RURAL,2012-13
LEON ISD,145911,H,RURAL,2012-13
LEONARD ISD,074909,G,NON-METROPOLITAN STABLE,2012-13
LEVELLAND ISD,110902,G,NON-METROPOLITAN STABLE,2012-13
LEVERETTS CHAPEL ISD,201904,H,RURAL,2012-13
LEWISVILLE ISD,061902,B,MAJOR SUBURBAN,2012-13
LEXINGTON ISD,144902,G,NON-METROPOLITAN STABLE,2012-13
LIBERTY HILL ISD,246908,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LIBERTY ISD,146906,G,NON-METROPOLITAN STABLE,2012-13
LIBERTY-EYLAU ISD,019908,G,NON-METROPOLITAN STABLE,2012-13
LIFE SCHOOL,057807,I,CHARTER SCHOOL DISTRICTS,2012-13
LIGHTHOUSE CHARTER SCHOOL,015825,I,CHARTER SCHOOL DISTRICTS,2012-13
LINDALE ISD,212903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LINDEN-KILDARE CISD,034905,H,RURAL,2012-13
LINDSAY ISD,049907,H,RURAL,2012-13
LINGLEVILLE ISD,072909,H,RURAL,2012-13
LIPAN ISD,111902,H,RURAL,2012-13
LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,INDEPENDENT TOWN,2012-13
LITTLE ELM ISD,061914,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LITTLEFIELD ISD,140904,G,NON-METROPOLITAN STABLE,2012-13
LIVINGSTON ISD,187907,E,INDEPENDENT TOWN,2012-13
LLANO ISD,150901,G,NON-METROPOLITAN STABLE,2012-13
LOCKHART ISD,028902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LOCKNEY ISD,077902,H,RURAL,2012-13
LOHN ISD,160905,H,RURAL,2012-13
LOMETA ISD,141902,H,RURAL,2012-13
LONDON ISD,178906,F,NON-METROPOLITAN FAST GROWING,2012-13
LONE OAK ISD,116906,G,NON-METROPOLITAN STABLE,2012-13
LONGVIEW ISD,092903,C,OTHER CENTRAL CITY,2012-13
LOOP ISD,083902,H,RURAL,2012-13
LORAINE ISD,168902,H,RURAL,2012-13
LORENA ISD,161907,G,NON-METROPOLITAN STABLE,2012-13
LORENZO ISD,054902,H,RURAL,2012-13
LOS FRESNOS CISD,031906,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LOUISE ISD,241906,H,RURAL,2012-13
LOVEJOY ISD,043919,F,NON-METROPOLITAN FAST GROWING,2012-13
LOVELADY ISD,113903,H,RURAL,2012-13
LUBBOCK ISD,152901,C,OTHER CENTRAL CITY,2012-13
LUBBOCK-COOPER ISD,152906,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LUEDERS-AVOCA ISD,127905,H,RURAL,2012-13
LUFKIN ISD,003903,E,INDEPENDENT TOWN,2012-13
LULING ISD,028903,E,INDEPENDENT TOWN,2012-13
LUMBERTON ISD,100907,D,OTHER CENTRAL CITY SUBURBAN,2012-13
LYFORD CISD,245902,G,NON-METROPOLITAN STABLE,2012-13
LYTLE ISD,007904,G,NON-METROPOLITAN STABLE,2012-13
MABANK ISD,129905,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MADISONVILLE CISD,154901,G,NON-METROPOLITAN STABLE,2012-13
MAGNOLIA ISD,170906,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MAINLAND PREPARATORY ACADEMY,084801,I,CHARTER SCHOOL DISTRICTS,2012-13
MALAKOFF ISD,107906,G,NON-METROPOLITAN STABLE,2012-13
MALONE ISD,109908,H,RURAL,2012-13
MALTA ISD,019910,H,RURAL,2012-13
MANARA ACADEMY,057844,I,CHARTER SCHOOL DISTRICTS,2012-13
MANOR ISD,227907,B,MAJOR SUBURBAN,2012-13
MANSFIELD ISD,220908,B,MAJOR SUBURBAN,2012-13
MARATHON ISD,022902,H,RURAL,2012-13
MARBLE FALLS ISD,027904,E,INDEPENDENT TOWN,2012-13
MARFA ISD,189901,H,RURAL,2012-13
MARION ISD,094904,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MARLIN ISD,073903,G,NON-METROPOLITAN STABLE,2012-13
MARSHALL ISD,102902,E,INDEPENDENT TOWN,2012-13
MART ISD,161908,H,RURAL,2012-13
MARTINS MILL ISD,234905,H,RURAL,2012-13
MARTINSVILLE ISD,174909,H,RURAL,2012-13
MASON ISD,157901,H,RURAL,2012-13
MATAGORDA ISD,158904,H,RURAL,2012-13
MATHIS ISD,205904,G,NON-METROPOLITAN STABLE,2012-13
MAUD ISD,019903,H,RURAL,2012-13
MAY ISD,025905,H,RURAL,2012-13
MAYPEARL ISD,070915,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MCALLEN ISD,108906,C,OTHER CENTRAL CITY,2012-13
MCCAMEY ISD,231901,H,RURAL,2012-13
MCDADE ISD,011905,H,RURAL,2012-13
MCGREGOR ISD,161909,G,NON-METROPOLITAN STABLE,2012-13
MCKINNEY ISD,043907,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MCLEAN ISD,090903,H,RURAL,2012-13
MCLEOD ISD,034906,H,RURAL,2012-13
MCMULLEN COUNTY ISD,162904,H,RURAL,2012-13
MEADOW ISD,223902,H,RURAL,2012-13
MEADOWLAND CHARTER SCHOOL,130801,I,CHARTER SCHOOL DISTRICTS,2012-13
MEDICAL CENTER CHARTER SCHOOL,101801,I,CHARTER SCHOOL DISTRICTS,2012-13
MEDINA ISD,010901,H,RURAL,2012-13
MEDINA VALLEY ISD,163908,B,MAJOR SUBURBAN,2012-13
MELISSA ISD,043908,F,NON-METROPOLITAN FAST GROWING,2012-13
MEMPHIS ISD,096904,H,RURAL,2012-13
MENARD ISD,164901,H,RURAL,2012-13
MERCEDES ISD,108907,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MERIDIAN ISD,018902,H,RURAL,2012-13
MERIDIAN WORLD SCHOOL LLC,246801,I,CHARTER SCHOOL DISTRICTS,2012-13
MERKEL ISD,221904,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MESQUITE ISD,057914,B,MAJOR SUBURBAN,2012-13
MEXIA ISD,147903,G,NON-METROPOLITAN STABLE,2012-13
MEYERPARK ELEMENTARY,101855,I,CHARTER SCHOOL DISTRICTS,2012-13
MEYERSVILLE ISD,062906,H,RURAL,2012-13
MIAMI ISD,197902,H,RURAL,2012-13
MIDLAND ACADEMY CHARTER SCHOOL,165802,I,CHARTER SCHOOL DISTRICTS,2012-13
MIDLAND ISD,165901,C,OTHER CENTRAL CITY,2012-13
MIDLOTHIAN ISD,070908,C,OTHER CENTRAL CITY,2012-13
MIDVALLEY ACADEMY CHARTER DISTRICT,108804,I,CHARTER SCHOOL DISTRICTS,2012-13
MIDWAY ISD,039905,H,RURAL,2012-13
MIDWAY ISD,161903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MILANO ISD,166903,H,RURAL,2012-13
MILDRED ISD,175910,E,INDEPENDENT TOWN,2012-13
MILES ISD,200902,H,RURAL,2012-13
MILFORD ISD,070909,H,RURAL,2012-13
MILLER GROVE ISD,112907,H,RURAL,2012-13
MILLSAP ISD,184904,H,RURAL,2012-13
MINEOLA ISD,250903,E,INDEPENDENT TOWN,2012-13
MINERAL WELLS ISD,182903,E,INDEPENDENT TOWN,2012-13
MISSION CISD,108908,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MONAHANS-WICKETT-PYOTE ISD,238902,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MONTAGUE ISD,169908,H,RURAL,2012-13
MONTE ALTO ISD,108915,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MONTGOMERY ISD,170903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
MOODY ISD,161910,H,RURAL,2012-13
MORAN ISD,209902,H,RURAL,2012-13
MORGAN ISD,018903,H,RURAL,2012-13
MORGAN MILL ISD,072910,H,RURAL,2012-13
MORTON ISD,040901,H,RURAL,2012-13
MOTLEY COUNTY ISD,173901,H,RURAL,2012-13
MOULTON ISD,143902,H,RURAL,2012-13
MOUNT CALM ISD,109910,H,RURAL,2012-13
MOUNT ENTERPRISE ISD,201907,H,RURAL,2012-13
MOUNT PLEASANT ISD,225902,E,INDEPENDENT TOWN,2012-13
MOUNT VERNON ISD,080901,G,NON-METROPOLITAN STABLE,2012-13
MUENSTER ISD,049902,H,RURAL,2012-13
MULESHOE ISD,009901,G,NON-METROPOLITAN STABLE,2012-13
MULLIN ISD,167902,H,RURAL,2012-13
MUMFORD ISD,198906,H,RURAL,2012-13
MUNDAY CISD,138903,H,RURAL,2012-13
MURCHISON ISD,107908,H,RURAL,2012-13
NACOGDOCHES ISD,174904,E,INDEPENDENT TOWN,2012-13
NATALIA ISD,163903,G,NON-METROPOLITAN STABLE,2012-13
NAVARRO ISD,094903,D,OTHER CENTRAL CITY SUBURBAN,2012-13
NAVASOTA ISD,093904,D,OTHER CENTRAL CITY SUBURBAN,2012-13
NAZARETH ISD,035903,H,RURAL,2012-13
NECHES ISD,001906,H,RURAL,2012-13
NEDERLAND ISD,123905,D,OTHER CENTRAL CITY SUBURBAN,2012-13
NEEDVILLE ISD,079906,D,OTHER CENTRAL CITY SUBURBAN,2012-13
NEW BOSTON ISD,019905,G,NON-METROPOLITAN STABLE,2012-13
NEW BRAUNFELS ISD,046901,C,OTHER CENTRAL CITY,2012-13
NEW CANEY ISD,170908,D,OTHER CENTRAL CITY SUBURBAN,2012-13
NEW DEAL ISD,152902,H,RURAL,2012-13
NEW DIANA ISD,230906,D,OTHER CENTRAL CITY SUBURBAN,2012-13
NEW FRONTIERS CHARTER SCHOOL,015805,I,CHARTER SCHOOL DISTRICTS,2012-13
NEW HOME ISD,153905,H,RURAL,2012-13
NEW SUMMERFIELD ISD,037908,H,RURAL,2012-13
NEW WAVERLY ISD,236901,G,NON-METROPOLITAN STABLE,2012-13
NEWCASTLE ISD,252902,H,RURAL,2012-13
NEWMAN INTERNATIONAL ACADEMY OF AR,220817,I,CHARTER SCHOOL DISTRICTS,2012-13
NEWTON ISD,176902,G,NON-METROPOLITAN STABLE,2012-13
NIXON-SMILEY CISD,089903,G,NON-METROPOLITAN STABLE,2012-13
NOCONA ISD,169902,H,RURAL,2012-13
NORDHEIM ISD,062902,H,RURAL,2012-13
NORMANGEE ISD,145906,H,RURAL,2012-13
NORTH EAST ISD,015910,A,MAJOR URBAN,2012-13
NORTH FOREST ISD,101909,B,MAJOR SUBURBAN,2012-13
NORTH HOPKINS ISD,112906,H,RURAL,2012-13
NORTH LAMAR ISD,139911,E,INDEPENDENT TOWN,2012-13
NORTH ZULCH ISD,154903,H,RURAL,2012-13
NORTHSIDE ISD,015915,A,MAJOR URBAN,2012-13
NORTHSIDE ISD,244905,H,RURAL,2012-13
NORTHWEST ISD,061911,D,OTHER CENTRAL CITY SUBURBAN,2012-13
NORTHWEST PREPARATORY,101848,I,CHARTER SCHOOL DISTRICTS,2012-13
NOVA ACADEMY,057809,I,CHARTER SCHOOL DISTRICTS,2012-13
NOVA ACADEMY (SOUTHEAST),057827,I,CHARTER SCHOOL DISTRICTS,2012-13
NUECES CANYON CISD,069902,H,RURAL,2012-13
NURSERY ISD,235904,H,RURAL,2012-13
