CountyName,POWPUMA,POWPUMAType,Weight
Montgomery,4500,POWPUMA2K,455746
Moore,100,POWPUMA2K,21904
Morris,1000,POWPUMA2K,12934
Motley,400,POWPUMA2K,1210
Nacogdoches,1700,POWPUMA2K,64524
Navarro,1900,POWPUMA2K,47735
Newton,1600,POWPUMA2K,14445
Nolan,2800,POWPUMA2K,15216
Nueces,6300,POWPUMA2K,305213
Nueces,6400,POWPUMA2K,35010
Ochiltree,100,POWPUMA2K,10223
Oldham,100,POWPUMA2K,2052
Orange,4200,POWPUMA2K,81837
Palo Pinto,2800,POWPUMA2K,28111
Panola,1500,POWPUMA2K,23796
Parker,2500,POWPUMA2K,116927
Parmer,100,POWPUMA2K,10269
Pecos,3400,POWPUMA2K,15507
Polk,4100,POWPUMA2K,45410
Polk,4500,POWPUMA2K,3
Potter,200,POWPUMA2K,121073
Presidio,3400,POWPUMA2K,7818
Rains,1200,POWPUMA2K,10914
Randall,300,POWPUMA2K,120725
Reagan,3100,POWPUMA2K,3367
Real,5900,POWPUMA2K,3309
Red River,1000,POWPUMA2K,12860
Reeves,3400,POWPUMA2K,13783
Refugio,6100,POWPUMA2K,7383
Roberts,100,POWPUMA2K,929
Robertson,3900,POWPUMA2K,16622
Rockwall,2000,POWPUMA2K,78337
Runnels,3100,POWPUMA2K,10501
Rusk,1500,POWPUMA2K,53330
Sabine,1600,POWPUMA2K,10834
San Augustine,1600,POWPUMA2K,8865
San Jacinto,4100,POWPUMA2K,26384
San Patricio,6400,POWPUMA2K,64804
San Saba,3600,POWPUMA2K,6131
Schleicher,3100,POWPUMA2K,3461
Scurry,2800,POWPUMA2K,16921
Shackelford,2800,POWPUMA2K,3378
Shelby,1600,POWPUMA2K,25448
Sherman,100,POWPUMA2K,3034
Smith,1400,POWPUMA2K,209714
Somervell,2700,POWPUMA2K,8490
Starr,6500,POWPUMA2K,60968
Stephens,2800,POWPUMA2K,9630
Sterling,3100,POWPUMA2K,1143
Stonewall,2800,POWPUMA2K,1490
Sutton,3100,POWPUMA2K,4128
Swisher,100,POWPUMA2K,7854
Tarrant,600,POWPUMA2K,24
Tarrant,2200,POWPUMA2K,837
Tarrant,2500,POWPUMA2K,1808173
Taylor,2900,POWPUMA2K,131506
Terrell,3400,POWPUMA2K,984
Terry,400,POWPUMA2K,12651
Throckmorton,2800,POWPUMA2K,1641
Titus,1000,POWPUMA2K,32334
Tom Green,3000,POWPUMA2K,110224
Travis,5300,POWPUMA2K,727738
Travis,5400,POWPUMA2K,296528
Trinity,4100,POWPUMA2K,14585
Tyler,1600,POWPUMA2K,21766
Upshur,1200,POWPUMA2K,39309
Upton,3100,POWPUMA2K,3355
Uvalde,5900,POWPUMA2K,26405
Val Verde,5900,POWPUMA2K,48879
Van Zandt,1200,POWPUMA2K,52579
Victoria,6200,POWPUMA2K,86793
Walker,4100,POWPUMA2K,67861
Waller,4500,POWPUMA2K,43205
Ward,3400,POWPUMA2K,10658
Washington,3900,POWPUMA2K,33718
Webb,6000,POWPUMA2K,250304
Wharton,5000,POWPUMA2K,41280
Wheeler,100,POWPUMA2K,5410
Wichita,700,POWPUMA2K,131500
Wilbarger,600,POWPUMA2K,13535
Willacy,6500,POWPUMA2K,22134
Williamson,5200,POWPUMA2K,422676
Williamson,5300,POWPUMA2K,3
Wilson,5700,POWPUMA2K,42918
Winkler,3400,POWPUMA2K,7110
Wise,600,POWPUMA2K,59127
Wood,1200,POWPUMA2K,41964
Yoakum,400,POWPUMA2K,7879
Young,600,POWPUMA2K,18550
Zapata,6500,POWPUMA2K,14018
Zavala,5900,POWPUMA2K,11677
